Issue-ID,Parameter,Title,Issue-URL,Commit-URL,Param type,Rationale,New scenario/use case,Impact,Note,discussion,Whether documented
SPARK-20728,spark.sql.orc.impl,[SQL] Make OrcFileFormat CONFIGurable between sql/hive and sql/core,https://issues.apache.org/jira/browse/SPARK-20728,https://github.com/apache/spark/commit/326f1d6728a7734c228d8bfaa69442a1c7b92e9b,class implementation,compatibility,concrete,/,This issue depends on SPARK-20682 and aims to provide a configuration to choose the default ORCFileFormat from legacy `sql/hive` module or new `sql/core` module.,/,no
SPARK-25129,spark.sql.legacy.replaceDatabricksSparkAvro.enabled,Make the mapping of com.databricks.spark.avro to built-in module configurable,https://issues.apache.org/jira/browse/SPARK-25129,https://github.com/apache/spark/commit/ac0174e55af2e935d41545721e9f430c942b3a0c,feature selection,compatibility,concrete,/,"In https://issues.apache.org/jira/browse/SPARK-24924, the data source provider com.databricks.spark.avro is mapped to the new package org.apache.spark.sql.avro. make the mapping of com.databricks.avro => internal avro configurable, that would allow them to continue use their version of com.databricks.avro until they can update api.",/,no
SPARK-28730,spark.sql.storeAssignmentPolicy,Configurable type coercion policy for table insertion,https://issues.apache.org/jira/browse/SPARK-28730,https://github.com/apache/spark/commit/895c90b582cc2b2667241f66d5b733852aeef9e,policy,compatibility,concrete,/,"To ensure backward compatibility with existing queries, the default store assignment policy for data source V1 is ""legacy"" before ANSI mode is implemented.",Balancing flexibility and simplicity: You can't deny this large class of use cases out there (probably makes up half of Spark use cases actually),no
HBASE-23081,hbase.balancer.rsgroup.enabled,Add an option to enable/disable rs group feature,https://issues.apache.org/jira/browse/HBASE-23081,https://github.com/apache/hbase/commit/0f4a87c24dc8d5c29e31df27ec741fbca9981c9,feature selection,compatibility,Concrete task: if you want the pre 3.0.0 hbase client/shell to communicate with the new hbase cluster,/,"The coprocessor org.apache.hadoop.hbase.rsgroup.RSGroupAdminEndpoint is deprected, but for compatible, if you want the pre 3.0.0 hbase client/shell to communicate with the new hbase cluster, you still need to add this coprocessor to master.",/,no
SPARK-28395,spark.sql.function.preferIntegralDivision,Division operator support integral division,https://issues.apache.org/jira/browse/SPARK-28395,https://github.com/apache/spark/commit/69268492471137dd7a3da54c218026c3b1fa7db,feature selection,compatibility,unknow,/,This pr add a flag(`spark.sql.function.preferIntegralDivision`) to control whether to use integral division with the `/` operator.,/,no
SPARK-20331,spark.sql.hive.advancedPartitionPredicatePushdown.enabled,[SQL][FOLLOW-UP] Add a SQLConf for enhanced Hive partition pruning predicate pushdown,https://issues.apache.org/jira/browse/SPARK-20331,https://github.com/apache/spark/commit/d8cada8d1d3fce979a4bc1f9879593206722a3b9#,feature selection,compatibility,vague,/,we don't backport such risky changes to maintenance branches.,/,no
SPARK-20923,spark.taskMetrics.trackUpdatedBlockStatuses,turn tracking of TaskMetrics._updatedBlockStatuses off,https://issues.apache.org/jira/browse/SPARK-20923,https://github.com/apache/spark/commit/5b5a69bea9de806e2c39b04b248ee82a7b664d7b#,feature selection,compatibility,vague,/,We leave the api there as well as a config to turn it back on just in case anyone is using it.,Balancing flexibility and simplicity:If its not being used we should remove it,no
SPARK-24307,spark.network.remoteReadNioBufferConversion,[CORE] Add conf to revert to old code.,https://issues.apache.org/jira/browse/SPARK-24307,https://github.com/apache/spark/commit/2c82745686f4456c4d5c84040a431dcb5b6cb60b,feature selection,compatibility,vague,/,"In case there are any issues in converting FileSegmentManagedBuffer to ChunkedByteBuffer, add a conf to go back to old code path.",/,no
SPARK-27253,spark.sql.legacy.sessionInitWithConfigDefaults,Add a legacy flag to restore old session init behavior,https://issues.apache.org/jira/browse/SPARK-27253,https://github.com/apache/spark/commit/83f628b57da39ad9732d1393aebac373634a2eb9,feature selection,compatibility,vague,/,"Add a legacy flag to restore the old session init behavior, where SparkConf defaults take precedence over configs in a parent session.",/,no
CASSANDRA-14659,native_transport_allow_older_protocols,Disable old native protocol versions on demand,https://issues.apache.org/jira/browse/CASSANDRA-14659,https://github.com/apache/cassandra/commit/7b61b0be88ef1fcc29646ae8bdbb05da825bc1b2,feature selection,compatibility,concrete,/,This will help operators selectively reject connections from clients that do not support the latest protoocol.,/,yes
SPARK-29444,ignoreNullFields (API configuration whose normal configuration is: spark.sql.jsonGenerator.ignoreNullFields),[FOLLOWUP] add doc and python PARAMETER for ignoreNullFields in json generating,https://issues.apache.org/jira/browse/SPARK-29444,https://github.com/apache/spark/commit/dcf5eaf1a6c0330a9460e168c1c3fee21998ba6,feature selection,compatibility,concrete environment: Enable user to use ignoreNullFields in pyspark (as in Spark),/,"DataSet.toJSON will lost some column when field data is null. Maybe it is better to keep null data in some scenarios. Such as sparkmagic, which is widely used in jupyter with livy, we use toJSON to toJSON is used to get sql results. with toJSON sparkmagic may return empty results, which confused users.Maybe adding a config is the best choice. This configuration retains the current semantics and will remain fields with null until the configuration is modified.",/,yes
SPARK-30113,mergeSchema (API configuration whose normal configuration is: spark.sql.parquet.mergeSchema),Expose mergeSchema OPTION in PySpark's ORC APIs,https://issues.apache.org/jira/browse/SPARK-30113,https://github.com/apache/spark/commit/c8922d9145a9bc60c0f423a6c1b7d4f0bfa2e58,feature selection,compatibility,unknow,/,Why are the changes needed? So the Python API matches the Scala API.,/,yes
SPARK-30098,spark.sql.legacy.respectHiveDefaultProvider.enabled,Use default datasource as provider for CREATE TABLE syntax,https://issues.apache.org/jira/browse/SPARK-30098,https://github.com/apache/spark/commit/58be82ad4b98fc17e821e916e69e77a6aa36209,feature selection,compatibility,unknow,/,"Changing the default provider from `hive` to the value of `spark.sql.sources.default` for ""CREATE TABLE"" syntax to make it be consistent with DataFrameWriter.saveAsTable API. Also, it brings more friendly to end users since Spark is well know of using parquet(default value of `spark.sql.sources.default`) as its default I/O format.",/,yes
HBASE-20942,hbase.ipc.trace.log.max.length,Improve RpcServer TRACE logging,https://issues.apache.org/jira/browse/HBASE-20942,https://github.com/apache/hbase/commit/fcd883b5dd7f3e2987646407f8f03c5513d93a9b,threshold,debuggability,unknow,/,We truncate RpcServer output to 1000 characters for trace logging. Would be better if that value was configurable.,/,no
SPARK-25415,spark.sql.optimizer.planChangeLog.level,Make plan change log in RuleExecutor configurable by SQLConf,https://issues.apache.org/jira/browse/SPARK-25415,https://github.com/apache/spark/commit/8b702e1e0aba1d3e4b0aa582f20cf99f80a44a09,Log level,debuggability,vague task: helpful for debugging,/,"such information can be very helpful for debugging, so making the log level configurable in SQLConf would allow users to turn on the plan change log independently and save the trouble of tweaking log4j settings. Meanwhile, filtering plan change log for specific rules can also be very useful.",/,no
SPARK-22959,spark.python.daemon.module,[PYTHON] Configuration to select the modules for daemon and worker in PySpark,https://issues.apache.org/jira/browse/SPARK-22959,https://github.com/apache/spark/commit/afae8f2bc82597593595af68d1aa2d802210ea8b,class implementation,debuggability,vague task: it's sometimes hard to debug what happens,/,We are now forced to use pyspark/daemon.py and pyspark/worker.py in PySpark tests.,/,no
SPARK-22959,spark.python.worker.module,[PYTHON] Configuration to select the modules for daemon and worker in PySpark,https://issues.apache.org/jira/browse/SPARK-22959,https://github.com/apache/spark/commit/afae8f2bc82597593595af68d1aa2d802210ea8b,class implementation,debuggability,vague task: it's sometimes hard to debug what happens,/,We are now forced to use pyspark/daemon.py and pyspark/worker.py in PySpark tests.,/,no
SPARK-26389,spark.sql.streaming.forceDeleteTempCheckpointLocation,Add force delete temp checkpoint configuration,https://issues.apache.org/jira/browse/SPARK-26389,https://github.com/apache/spark/commit/701b06a7e2e76e5d9ed020c62e0ed3464fa2818b,feature selection,debuggability,vague workload: running the stream application multiple times,Failure: job failed,Not all users wants to keep temporary checkpoint directories.,/,no
SPARK-22050,spark.eventLog.logBlockUpdates.enabled,[CORE] Allow BlockUpdated events to be optionally logged to the event log,https://issues.apache.org/jira/browse/SPARK-22050,https://github.com/apache/spark/commit/1437e344ec0c29a44a19f4513986f5f184c44695,feature selection,debuggability,vague Task: get a better understanding of caching for a job,/,"I see that block updates are not logged to the event log. This makes sense as a default for performance reasons. However, I find it helpful when trying to get a better understanding of caching for a job to be able to log these updates.",/,yes
HDFS-11060,dfs.namenode.max-corrupt-file-blocks-returned,make DEFAULT_MAX_CORRUPT_FILEBLOCKS_RETURNED configurable,https://issues.apache.org/jira/browse/HDFS-11060,https://github.com/apache/hadoop/commit/e95c5e9f62452ee848875ec2f8642eab4992cd23,threshold,debuggability,vague task: helpful for debugging,/,"Current, the easiest way to determine which blocks is missing is using NN web UI or JMX. Unfortunately, because the DEFAULT_MAX_CORRUPT_FILEBLOCKS_RETURNED=100 is hard code in FSNamesystem, only 100 missing blocks can be return by UI and JMX.",/,yes
SPARK-23820,spark.eventLog.longForm.enabled,Enable use of long form of callsite in logs,https://issues.apache.org/jira/browse/SPARK-23820,https://github.com/apache/spark/commit/ab25c967905ca0973fc2f30b8523246bb9244206,feature selection,debuggability,vague Task: some performance debugging,/,It would be nice if the long form of the callsite information could be included in the log. I don't expect it will be widely used but I've personally found it helpful in some performance debugging and it's a fairly low impact change.,"Balancing flexibility and simplicity: Although maybe not widely used, I could see allowing control of this via an undocumented param",yes
SPARK-25515,spark.kubernetes.executor.deleteOnTermination,Adds a config option to keep executor pods for debugging,https://issues.apache.org/jira/browse/SPARK-25515,https://github.com/apache/spark/commit/0c2935b01def8a5f631851999d9c2d57b63763e6,feature selection,debuggability,concrete usecase: if a pod fails to start due to some failure,"Failure: These sequence of events go on, until the app is killed","Currently, if a pod fails to start due to some failure, it gets removed and new one is attempted. These sequence of events go on, until the app is killed. Given the speed of creation and deletion, it becomes difficult to debug the reason for failure. So adding a configuration parameter to disable auto-deletion of pods, will be helpful for debugging.",/,yes
CASSANDRA-13518,storage-port,sstableloader doesn't support non default storage_port and ssl_storage_port,https://issues.apache.org/jira/browse/CASSANDRA-13518,https://github.com/apache/cassandra/commit/428eaa3e37cab7227c81fdf124d29dfc1db4257c,port,env setting,unknow,/,The proposed fix is to add command line option for these two ports like what NATIVE_PORT_OPTION currently does,/,no
CASSANDRA-13518,ssl-storage-port,sstableloader doesn't support non default storage_port and ssl_storage_port,https://issues.apache.org/jira/browse/CASSANDRA-13518,https://github.com/apache/cassandra/commit/428eaa3e37cab7227c81fdf124d29dfc1db4257c,port,env setting,unknow,/,The proposed fix is to add command line option for these two ports like what NATIVE_PORT_OPTION currently does,/,no
HBASE-20469,TEMPORARY_FS_DIRECTORY_KEY (hbase.fs.tmp.dir),Directory used for sidelining old recovered edits files should be made configurable,https://issues.apache.org/jira/browse/HBASE-20469,https://github.com/apache/hbase/commit/092efb42749bf7fc6ad338c96aae8e7b9d3a2c74,file directory,env setting,unknow,/,"Currently the directory used for sidelining of old recovered edit files is hardcoded to be ""/tmp"" Instead, we can use some configurable directory in the following manner:",/,no
SPARK-24203,#NAME?,Make executor's bindAddress CONFIGURABLE ,https://issues.apache.org/jira/browse/SPARK-24203,https://github.com/apache/spark/commit/833a9f12e2d46b5741e0522d5c86c9f6d88bb9d,Ip address,env setting,concrete Environment: Kernel-based Virtual Machine (KVM)'s are used inside Linux container,Failure:  wouldn't have worked for multiple executors.,/,/,no
HBASE-19572,REGIONSERVER_PORT (hbase.regionserver.port),RegionMover should use the configured default port number and not the one from HConstants,https://issues.apache.org/jira/browse/HBASE-19572,https://github.com/apache/hbase/commit/ce82fd0f4765f40ff44357719ffd47cd803f07fb,port,env setting,vague usecase: bug,Failure: java.lang.Exception,it was an error due the argument passed to the RegionMover.,/,no
SPARK-20025,spark.driver.port,[CORE] Ignore SPARK_LOCAL* env while deploying via cluster mode.,https://issues.apache.org/jira/browse/SPARK-20025,https://github.com/apache/spark/commit/23af2d79ad9a3c83936485ee57513b39193a446b,port,env setting,concrete Environment: in a bare metal system with No DNS setup,Failure:driver fail over will not work,"In a bare metal system with No DNS setup, spark may be configured with SPARK_LOCAL* for IP and host properties.",/,no
HBASE-19394,hbase.status.multicast.ni.name ,Support multi-homing env for the publication of RS status with multicast,https://issues.apache.org/jira/browse/HBASE-19394,https://github.com/apache/hbase/commit/11467ef11126c77b3692479730752ee38dff20a6,Interface name,env setting,concrete usecase: host has the multiple network interfaces and the unreachable one to the other nodes is selected.,uxepected result: won't work,"Currently, when the publication feature is enabled (hbase.status.published=true), it uses the interface which is found first.This won't work when the host has the multiple network interfaces and the unreachable one to the other nodes is selected.",/,no
HBASE-19394,hbase.status.multicast.publisher.bind.address.ip,Support multi-homing env for the publication of RS status with multicast,https://issues.apache.org/jira/browse/HBASE-19394,https://github.com/apache/hbase/commit/11467ef11126c77b3692479730752ee38dff20a6,Ip address,env setting,concrete usecase: host has the multiple network interfaces and the unreachable one to the other nodes is selected.,uxepected result: won't work,"Currently, when the publication feature is enabled (hbase.status.published=true), it uses the interface which is found first.This won't work when the host has the multiple network interfaces and the unreachable one to the other nodes is selected.",/,no
HDFS-13462,dfs.journalnode.rpc-bind-host,Add BIND_HOST configuration for JournalNode's HTTP and RPC Servers,https://issues.apache.org/jira/browse/HDFS-13462,https://github.com/apache/hadoop/commit/c9b33514b8d11db44b5f95b4df43789ed45c47a7,host name,env setting,vague Environment: multihomed environments,/,Allow configurable bind-host for JournalNode's HTTP and RPC servers to allow overriding the hostname for which the server accepts connections.,/,yes
HDFS-13462,dfs.journalnode.http-bind-host,Add BIND_HOST configuration for JournalNode's HTTP and RPC Servers,https://issues.apache.org/jira/browse/HDFS-13462,https://github.com/apache/hadoop/commit/c9b33514b8d11db44b5f95b4df43789ed45c47a7,host name,env setting,vague Environment: multihomed environments,/,Allow configurable bind-host for JournalNode's HTTP and RPC servers to allow overriding the hostname for which the server accepts connections.,/,yes
HDFS-13462,dfs.journalnode.https-bind-host,Add BIND_HOST configuration for JournalNode's HTTP and RPC Servers,https://issues.apache.org/jira/browse/HDFS-13462,https://github.com/apache/hadoop/commit/c9b33514b8d11db44b5f95b4df43789ed45c47a7,host name,env setting,vague Environment: multihomed environments,/,Allow configurable bind-host for JournalNode's HTTP and RPC servers to allow overriding the hostname for which the server accepts connections.,/,yes
HDFS-13018,dfs.cblock.iscsi.advertised.ip,Block Storage: make the iscsi target addres configurable for discovery.,https://issues.apache.org/jira/browse/HDFS-13018,https://github.com/apache/hadoop/commit/fb09d7537961935f3ed2506dca1d6e2cd2829a80,Ip address,env setting,concrete Environment: Kubernetes,uxepected result: won't work,For example in kubernetes the iscsi server could run behind a service where the address (where the jscsi server is available from the cluster) could be different from the targetAddress where the server is listening.,/,yes
HDFS-13018,dfs.cblock.iscsi.advertised.port,Block Storage: make the iscsi target addres configurable for discovery.,https://issues.apache.org/jira/browse/HDFS-13018,https://github.com/apache/hadoop/commit/fb09d7537961935f3ed2506dca1d6e2cd2829a80,port,env setting,concrete Environment: Kubernetes,uxepected result: won't work,For example in kubernetes the iscsi server could run behind a service where the address (where the jscsi server is available from the cluster) could be different from the targetAddress where the server is listening.,/,yes
HBASE-21126,permittedZookeeperFailures,Add ability for HBase Canary to ignore a configurable number of ZooKeeper down nodes,https://issues.apache.org/jira/browse/HBASE-21126,https://github.com/apache/hbase/commit/5cca61c4d0e7f1cf03fb7a80c7611bde4a49214b,count,manageability,concrete task: gauge server health,/,"If we use the Canary to gauge server health, and alert accordingly, this can be too strict. For example, in a 5-node ZooKeeper cluster, having one node down is safe and expected in rolling upgrades/patches.",/,no
HBASE-20004,hbase.rest.http.allow.options.method,Client is not able to execute REST queries in a secure cluster,https://issues.apache.org/jira/browse/HBASE-20004,https://github.com/apache/hbase/commit/c60578d9829f29cf77b250d238a9e38dc0b513d7#,feature selection,manageability,concrete task: In secure mode,/,But the problem here was the browser client negotiate with server by first sending a HTTP request with method type as OPTIONS and this method we have added as a constraint in the security handler.,"Balancing flexibility and simplicity: I added that first then removed, thinking that it works as it is and adding one more new configuration which I felt whose value will not be changed from its default, made no sense to me.",no
SPARK-23765,lineSep,[SQL] Supports custom line separator for json datasource,https://issues.apache.org/jira/browse/SPARK-23765,https://github.com/apache/spark/commit/34c4b9c57e114cdb390e4dbc7383284d82fea317,regex,manageability,unknow,/,"Spark csv and text readers always use default CR, LF or CRLF line terminators without an option to configure a custom delimiter.",/,no
SPARK-29175,spark.sql.additionalRemoteRepositories,Make maven central repository in IsolatedClientLoader configurable,https://issues.apache.org/jira/browse/SPARK-29175,https://github.com/apache/spark/commit/ada3ad34c6ab7f3d83ee9dd0b5e945e8ae50def,,manageability,vague,/,it can be used as the additional remote repositories for the default maven central repo.,/,no
SPARK-22366,spark.sql.files.ignoreMissingFiles,Support ignoring missing files,https://issues.apache.org/jira/browse/SPARK-22366,https://github.com/apache/spark/commit/8e9863531bebbd4d83eafcbc2b359b8bd0ac5734#,feature selection,manageability,vague usecase: some replication scenarios,/,"There's an existing flag ""spark.sql.files.ignoreCorruptFiles"" that will quietly ignore attempted reads from files that have been corrupted, but it still allows the query to fail on missing files. Being able to ignore missing files too is useful in some replication scenarios.",/,no
HDFS-12357,dfs.namenode.inode.attributes.provider.bypass.users,Let NameNode to bypass external attribute provider for configured users.,https://issues.apache.org/jira/browse/HDFS-12357,https://github.com/apache/hadoop/commit/d77ed238a911fc85d6f4bbce606cac7ec44f557f,name list,manageability,concrete Task: do distcp from one cluster to another,uxepected result:  avoid saving metadata,"We want to avoid saving metadata from external provider to HDFS, so we want to bypass external provider when doing the distcp (or hadoop fs -cp) operation",/,no
HBASE-18387,serverPrincipal,"Thrift] Make principal CONFIGurable in DemoClient.javaAdded OPTIONal (fourth) parameter ""server-principal""",https://issues.apache.org/jira/browse/HBASE-18387,https://github.com/apache/hbase/commit/8da77b414657f0ee3b093913de5f92eba17ecd2a,principle,manageability,concrete Task :using hbase-thrift to separate the names from those of backend servers,uxepected result: won't work,"This will only work when the Thrift server is started with the hbase principal. Often this may deviate, for example I am using hbase-thrift to separate the names from those of backend servers. What we need is either an additional command line option to specify the name, or a property that can be set with -D and can be passed at runtime. I prefer the former, as the latter is making this a little convoluted.",Balancing flexibility and simplicity: as the latter is making this a little convoluted.,no
HBASE-18994,hbase.systemtables.compacting.memstore.type,Decide if META/System tables should use Compacting Memstore or Default Memstore,https://issues.apache.org/jira/browse/HBASE-18994,https://github.com/apache/hbase/commit/0acfba0e35933d1008c9ade721055dafc137b50f#,feature selection,manageability,vague use case: bug,uxepected result:the comparators passed to the CellChunkImmutableSegment and CellArrayImmutableSegment are sometimes wrong,"That simplifies the issue but it doesn't bring any reason. Perhaps someone will raise another issue about ""all system tables should be assigned to compacting memstore"". As i see it, a workaround is to make it configurable, and the default memstore is the default setting.",/,no
SPARK-27963,spark.dynamicAllocation.shuffleTracking.enabled,Allow dynamic allocation without an external shuffle service,https://issues.apache.org/jira/browse/SPARK-27963,https://github.com/apache/spark/commit/2ddeff97d7329942a98ef363991eeabc3fa71a7,feature selection,manageability,"concrete task: One immediate use case is the ability to use dynamic allocation on Kubernetes, which doesn't yet have that service.",/,"It would be useful for users to be able to enable dynamic allocation without the need to provision an external shuffle service. One immediate use case is the ability to use dynamic allocation on Kubernetes, which doesn't yet have that service.",/,yes
HDFS-13418,dfs.net.topology.impl,NetworkTopology should be configurable when enable DFSNetworkTopology,https://issues.apache.org/jira/browse/HDFS-13418,https://github.com/apache/hadoop/commit/0725953efec89b35b7586b846abb01f7c5963b37,topology implementation,manageability,unknow,/,I think we should still make the NetworkTopology configurable rather than hard code the implementation since we may need another NetworkTopology impl.,/,yes
HDFS-13634,dfs.federation.router.connection.creator.queue-size,RBF: Configurable value in xml for async connection request queue size.,https://issues.apache.org/jira/browse/HDFS-13634,https://github.com/apache/hadoop/commit/a0ebb6b39f2932d3ea2fb5e287f52b841e108428,size,manageability,unknow,/,"This a very critical parameter for routers, admins would like to change this without doing a new build.",/,yes
HDFS-14113,dfs.namenode.ec.userdefined.policy.allowed,EC : Add Configuration to restrict UserDefined Policies,https://issues.apache.org/jira/browse/HDFS-14113,https://github.com/apache/hadoop/commit/c03024a5305bea1a40c87a4abc0793802bea5c75,feature selection,manageability,unknow,/,By default addition of erasure coding policies is enabled for users.We need to add configuration whether to allow addition of new User Defined policies or not.Which can be configured in for of a Boolean value at the server side.,/,yes
HDFS-12106,dfs.storage.policy.satisfier.retry.max.attempts,Improve storage policy satisfier configuration,https://issues.apache.org/jira/browse/HDFS-12106,https://github.com/apache/hadoop/commit/c561cb316e365ef674784cd6cf0b12c0fbc271a3,threshold,manageability,vague Environment: not enough storage,/,"if file is not able to satisfy for some reasons like not enough storages etc, we may keep retry",/,yes
HDFS-9049,dfs.datanode.http.internal-proxy.port,Make Datanode Netty reverse proxy port to be configurable,https://issues.apache.org/jira/browse/HDFS-9049,https://github.com/apache/hadoop/commit/09efdfe9e13c9695867ce4034aa6ec970c2032f1,port,manageability,vague Task : control port,/,"In some of the deployments, customers want to have the control over all listening ports. So that they logically separates server/listening ports from client ports. For this they prefer no random ports to be allocated for listening.",/,yes
CASSANDRA-13959,enable_materialized_views,Add flag to disable materialized views and warnings on creation,https://issues.apache.org/jira/browse/CASSANDRA-13959,https://github.com/apache/cassandra/commit/b8697441d7a051e7ff68def6aa9cf14bd92ace9e,feature selection,manageability,vague task: for developing task,/,Materialized views are considered experimental and are not recommended for production use.,/,yes
SPARK-29603,spark.yarn.priority,Support application priority for YARN priority scheduling,https://issues.apache.org/jira/browse/SPARK-29603,https://github.com/apache/spark/commit/4615769736f4c052ae1a2de26e715e229154cd2,priority,manageability,"vague usecase: can set priority to an application for YARN to define pending applications ordering policy, those with higher priority have a better opportunity to be activated.",/,"We can set priority to an application for YARN to define pending applications ordering policy, those with higher priority have a better opportunity to be activated. YARN CapacityScheduler only.",/,yes
SPARK-29436,spark.kubernetes.executor.scheduler.name,Support executor for selecting scheduler through scheduler name in the case of k8s multi-scheduler scenario,https://issues.apache.org/jira/browse/SPARK-29436,https://github.com/apache/spark/commit/f800fa383131559c4e841bf062c9775d0919093,name,manageability,vague usecase: support executor for selecting scheduler through scheduler name.,/,"In the case of k8s multi-scheduler, support executor for selecting scheduler through scheduler name.",/,yes
SPARK-29444,spark.sql.jsonGenerator.struct.ignore.null,Add CONFIGURATION to support JacksonGenrator to keep fields with null values,https://issues.apache.org/jira/browse/SPARK-29444,https://github.com/apache/spark/commit/78b0cbe265c4e8cc3d4d8bf5d734f2998c04d37,feature selection,manageability,"concrete task: it is better to keep null data in some scenarios. Such as sparkmagic, which is widely used in jupyter with livy, we use toJSON to toJSON is used to get sql results. with toJSON sparkmagic may return empty results, which confused users.",Failure: may cause parsing exceptions or loss of entire column data.,"DataSet.toJSON will lost some column when field data is null. Maybe it is better to keep null data in some scenarios. Such as sparkmagic, which is widely used in jupyter with livy, we use toJSON to toJSON is used to get sql results. with toJSON sparkmagic may return empty results, which confused users.Maybe adding a config is the best choice. This configuration retains the current semantics and will remain fields with null until the configuration is modified.",/,yes
SPARK-24690,spark.sql.cbo.planStats.enabled,Add a CONFIG to control plan stats computation in LogicalRelation,https://issues.apache.org/jira/browse/SPARK-24690,https://github.com/apache/spark/commit/3f3a18fff116a02ff7996d45a1061f48a2de310,feature selection,manageability,vague: if CBO disabled,uxepected result: cannot currently enable StarSchemaDetection.reorderStarJoins,We cannot currently enable StarSchemaDetection.reorderStarJoins because we need to turn off CBO to enable it but StarSchemaDetection internally references LogicalPlan.stats.rowCount. This rowCount is used in LogicalRelation if CBO disabled.This ticket is to propose a new separate config so that LogicalRelation can use rowCount to compute data statistics.,/,yes
HDFS-13857,dfs.federation.router.default.nameservice.enable,RBF: Choose to enable the default nameservice to read/write files,https://issues.apache.org/jira/browse/HDFS-13857,https://github.com/apache/hadoop/commit/54f2044595206455484284b43e5976c8a1982aaf,feature selection,manageability,concrete Task: we need all files to be written in the location from the MountTableEntry,uxepected result: files written in unknown location,"as cluster administrator, It is not better to happen some files are written in some unknown location.",Balancing flexibility and simplicity: as cluster administrator,yes
SPARK-20950,spark.shuffle.spill.diskWriteBufferSize,add a new config to diskWriteBufferSize which is hard coded before,https://issues.apache.org/jira/browse/SPARK-20950,https://github.com/apache/spark/commit/565e7a8d4ae7879ee704fb94ae9b3da31e202d7e#,size,performance,concrete performance comparison,/,With spark.shuffle.spill.diskWriteBufferSize configure diskWriteBufferSize of ShuffleExternalSorter. when change the size of the diskWriteBufferSize to test `forceSorterToSpill` The average performance of running 10 times is as follows,Balancing flexibility and simplicity: What's the use case for exposing these as more config options? what would cause the user to need to set these separately? ,no
HBASE-15982,hbase.replication.wait.on.endpoint.seconds,Interface ReplicationEndpoint extends Guava's Service,https://issues.apache.org/jira/browse/HBASE-15982,https://github.com/apache/hbase/commit/6e7baa07f0b1f5841379545acaf23d36f50de2c2,timeout,performance,unknow,/,unknow,/,no
HDFS-14114,DFS_ROUTER_NAMENODE_CONNECTION_MIN_ACTIVE_RATIO (dfs.federation.router.connection.min-active-ratio),RBF: MIN_ACTIVE_RATIO should be configurable,https://issues.apache.org/jira/browse/HDFS-14114,https://github.com/apache/hadoop/commit/6aa7aabff801905f55a18d117f927d0125057d78,threshold,performance,unknow,/,It affects cleanup and creating Connections. Maybe it should be configurable so that we can reconfig it to improve performance,/,no
SPARK-20101,spark.sql.columnVector.offheap.enable,"[SQL] Use OffHeapColumnVector when ""spark.sql.columnVector.offheap.enable"" is set to ""true""",https://issues.apache.org/jira/browse/SPARK-20101,https://github.com/apache/spark/commit/3c3eebc8734e36e61f4627e2c517fbbe342b3b42,feature selection,performance,unknow,/,"While ColumnVector has two implementations OnHeapColumnVector and OffHeapColumnVector, only OnHeapColumnVector is used.",/,no
SPARK-22160,spark.sql.execution.rangeExchange.sampleSizePerPartition,[SQL] Make sample points per partition (in range partitioner) CONFIGurable and bump the default value up to 100,https://issues.apache.org/jira/browse/SPARK-22160,https://github.com/apache/spark/commit/323806e68f91f3c7521327186a37ddd1436267d0,size,performance,unknow,/,"Spark's RangePartitioner hard codes the number of sampling points per partition to be 20. This is sometimes too low. This ticket makes it configurable, via spark.sql.execution.rangeExchange.sampleSizePerPartition, and raises the default in Spark SQL to be 100.",/,no
SPARK-23188,spark.sql.parquet.columnarReaderBatchSize,[SQL] Make vectorized columar reader batch size CONFIGurable,https://issues.apache.org/jira/browse/SPARK-23188,https://github.com/apache/spark/commit/cc41245fa3f954f961541bf4b4275c28473042b8,size,performance,unknow,/,Make the capacity of `VectorizedParquetRecordReader` configurable,/,no
SPARK-23188,spark.sql.orc.columnarReaderBatchSize,[SQL] Make vectorized columar reader batch size CONFIGurable,https://issues.apache.org/jira/browse/SPARK-23188,https://github.com/apache/spark/commit/cc41245fa3f954f961541bf4b4275c28473042b8#,size,performance,unknow,/,Make the capacity of `OrcColumnarBatchReader` configurable,/,no
