Issue-ID,Parameter,Title,Issue-URL,Commit-URL,Param type,Rationale,New scenario/use case,Impact,Note,discussion,Whether documented
SPARK-28355,spark.broadcast.UDFCompressionThreshold,Use Spark conf for threshold at which UDF is compressed by broadcast,https://issues.apache.org/jira/browse/SPARK-28355,https://github.com/apache/spark/commit/79e204770300dab4a669b9f8e2421ef905236e7,threshold,performance,unknow,/,The _prepare_for_python_RDD method currently broadcasts a pickled command if its length is greater than the hardcoded value 1 << 20 (1M). We would like to set this value as a Spark conf instead.,/,no
HBASE-18646,hbase.backup.logroll.pool.thread.number,LogRollMasterProcedureManager: make procedure timeout thread pool size configurable,https://issues.apache.org/jira/browse/HBASE-18646,https://github.com/apache/hbase/commit/19bb4ef487407cdf59a3f3c5bbef6dd8b917b682,thread/task number,performance,vague scale: large deployment,/,The default procedure timeout of 60 sec and pool size (1) may be not optimal for large deployments,/,no
HBASE-18646,hbase.backup.logroll.timeout.millis ,LogRollMasterProcedureManager: make procedure timeout thread pool size configurable,https://issues.apache.org/jira/browse/HBASE-18646,https://github.com/apache/hbase/commit/19bb4ef487407cdf59a3f3c5bbef6dd8b917b682,timeout,performance,vague scale: large deployment,/,The default procedure timeout of 60 sec and pool size (1) may be not optimal for large deployments,/,no
HBASE-21287,hbase.master.init.timeout.localHBaseCluster,Allow configuring test master initialization wait time.,https://issues.apache.org/jira/browse/HBASE-21287,https://github.com/apache/hbase/commit/db9a5b7da76d0876c9515720a8a60acb299ab217,timeout,performance,vague Task: some experiment,/,"We can configure how long the local cluster threads will wait for master to come up and become active, but not how long we allow initialization to take. Being able to tune this would improve my test loop on some experiment I am running.",/,no
HBASE-15519,hbase.regionserver.user.metrics.enabled,Add per-user metrics with lossy counting,https://issues.apache.org/jira/browse/HBASE-15519,https://github.com/apache/hbase/commit/59fc163e942c0981376478f5b3fe4ff14ae998d,feature selection,performance,vague workload: multi-tenant cases,/,"to disable user metrics in case it accounts for any performance issues, Per-user metrics will be useful in multi-tenant cases where we can emit number of requests, operations, num RPCs etc at the per-user aggregate level per regionserver. We currently have throttles per user, but no way to monitor resource usage per-user.",/,no
HBASE-18533,hbase.bucketcache.single.factor,Expose BucketCache values to be CONFIGuredBefore this commit BucketCache always used the default values.This commit adds the ability to CONFIGure these values,https://issues.apache.org/jira/browse/HBASE-18533,https://github.com/apache/hbase/commit/0e32869f01697abf29292aa786d0cdcca10213c6,factor,performance,"vague workload: single access, multi access, and in-memory access.",/,"BucketCache always uses the default values for all cache configuration. However, this doesn't work for all use cases. In particular, users want to be able to configure the percentage of the cache that is single access, multi access, and in-memory access.",/,no
HBASE-18533,hbase.bucketcache.multi.factor,Expose BucketCache values to be CONFIGuredBefore this commit BucketCache always used the default values.This commit adds the ability to CONFIGure these values,https://issues.apache.org/jira/browse/HBASE-18533,https://github.com/apache/hbase/commit/0e32869f01697abf29292aa786d0cdcca10213c6,factor,performance,"vague workload: single access, multi access, and in-memory access.",/,"BucketCache always uses the default values for all cache configuration. However, this doesn't work for all use cases. In particular, users want to be able to configure the percentage of the cache that is single access, multi access, and in-memory access.",/,no
HBASE-18533,hbase.bucketcache.memory.factor,Expose BucketCache values to be CONFIGuredBefore this commit BucketCache always used the default values.This commit adds the ability to CONFIGure these values,https://issues.apache.org/jira/browse/HBASE-18533,https://github.com/apache/hbase/commit/0e32869f01697abf29292aa786d0cdcca10213c6,factor,performance,"vague workload: single access, multi access, and in-memory access.",/,"BucketCache always uses the default values for all cache configuration. However, this doesn't work for all use cases. In particular, users want to be able to configure the percentage of the cache that is single access, multi access, and in-memory access.",/,no
HBASE-18533,hbase.bucketcache.extrafreefactor,Expose BucketCache values to be CONFIGuredBefore this commit BucketCache always used the default values.This commit adds the ability to CONFIGure these values,https://issues.apache.org/jira/browse/HBASE-18533,https://github.com/apache/hbase/commit/0e32869f01697abf29292aa786d0cdcca10213c6,factor,performance,"vague workload: single access, multi access, and in-memory access.",/,"BucketCache always uses the default values for all cache configuration. However, this doesn't work for all use cases. In particular, users want to be able to configure the percentage of the cache that is single access, multi access, and in-memory access.",/,no
HBASE-18533,hbase.bucketcache.minfactor,Expose BucketCache values to be CONFIGuredBefore this commit BucketCache always used the default values.This commit adds the ability to CONFIGure these values,https://issues.apache.org/jira/browse/HBASE-18533,https://github.com/apache/hbase/commit/0e32869f01697abf29292aa786d0cdcca10213c6,factor,performance,"vague workload: single access, multi access, and in-memory access.",/,"BucketCache always uses the default values for all cache configuration. However, this doesn't work for all use cases. In particular, users want to be able to configure the percentage of the cache that is single access, multi access, and in-memory access.",/,no
HBASE-18533,hbase.bucketcache.acceptfactor,Expose BucketCache values to be CONFIGuredBefore this commit BucketCache always used the default values.This commit adds the ability to CONFIGure these values,https://issues.apache.org/jira/browse/HBASE-18533,https://github.com/apache/hbase/commit/0e32869f01697abf29292aa786d0cdcca10213c6,factor,performance,"vague workload: single access, multi access, and in-memory access.",/,"BucketCache always uses the default values for all cache configuration. However, this doesn't work for all use cases. In particular, users want to be able to configure the percentage of the cache that is single access, multi access, and in-memory access.",/,no
HBASE-19024,hbase.wal.hsync,Provide a CONFIGurable param to hsync WAL edits to the disk for better durability,https://issues.apache.org/jira/browse/HBASE-19024,https://github.com/apache/hbase/commit/17ac2fe9c13d2b567c6bc06690e1491dfba83090,feature selection,performance,concrete performance comparison,perf: 10-15% latency impact,At present we do not have an option to hsync WAL edits to the disk for better durability. In our local tests we see 10-15% latency impact of using hsync instead of hflush which is not very high.,/,no
SPARK-23312,spark.sql.inMemoryColumnarStorage.enableVectorizedReader,[SQL] add a CONFIG to turn off vectorized cache reader,https://issues.apache.org/jira/browse/SPARK-23312,https://github.com/apache/spark/commit/b9503fcbb3f4a3ce263164d1f11a8e99b9ca5710,feature selection,performance,concrete workload: 10.4GB input from hive orc files /18.8 GB cached/5592 partitions,perf: a performance regression,I was testing spark 2.3 rc2 and I am seeing a performance regression in sql queries on cached data.,/,no
CASSANDRA-12526,cfs.getMaximumCompactionThreshold,Bump SSTable level instead of rewriting SSTable completely during single-sstable compactions,https://issues.apache.org/jira/browse/CASSANDRA-12526,https://github.com/apache/cassandra/commit/53c0ef171424454c47d64a9326b0ba83cd743a50,threshold,performance,concrete workload: a ton of newly inserted partitions that will never merge in compactions,perf: affect the overall compaction throughput,a ton of newly inserted partitions that will never merge in compactions,Balancing flexibility and simplicity: which is probably the worst kind of workload for LCS,no
HBASE-21764,hbase.regionserver.inmemory.compaction.pool.size,Size of in-memory compaction thread pool should be configurable,https://issues.apache.org/jira/browse/HBASE-21764,https://github.com/apache/hbase/commit/81ebe6d40d485a3aee4451acc340cf6db62609b7,thread/task number,performance,concrete workload: many regions in one region server,perf: better read performance,"introduced an new config key in this issue: hbase.regionserver.inmemory.compaction.pool.size. the default value would be 10. you can configure this to set the pool size of in-memory compaction pool. Note that all memstores in one region server will share the same pool, so if you have many regions in one region server, you need to set this larger to compact faster for better read performance.",/,no
HBASE-18478,hbase.master.balancer.uselocality,Allow users to remove RegionFinder from LoadBalancer calculations if no locality possible,https://issues.apache.org/jira/browse/HBASE-18478,https://github.com/apache/hbase/commit/8301734594011e7f94f992e6f8c815580a6b62d8,feature selection,performance,concrete Environment: FileSystems that do not surface locality ,perf: cluster start time reduction,BaseLoadBalancer should have the option to remove RegionFinder(quickly lookup cloud and region infomation of application deployment) from load balancing. This provides significant cluster start time reduction for FileSystems that do not surface locality such as Amazon S3.,/,no
SPARK-24519,spark.shuffle.minNumPartitionsToHighlyCompress,Make the threshold for highly compressed map status configurable,https://issues.apache.org/jira/browse/SPARK-24519,https://github.com/apache/spark/commit/39dfaf2fd167cafc84ec9cc637c114ed54a331e3,threshold,performance,vague task: easily tune their jobs,"perf: could be increasing # of output files when you don't want to be, affects the # of tasks needs and thus executors to run in parallel, etc.",MapStatus uses hardcoded value of 2000 partitions to determine if it should use highly compressed map status. We should make it configurable to allow users to more easily tune their jobs with respect to this without having for them to modify their code to change the number of partitions. Note we can leave this as an internal/undocumented config for now until we have more advise for the users on how to set this config.,Balancing flexibility and simplicity: Note we can leave this as an internal/undocumented config for now until we have more advise for the users on how to set this config.,no
CASSANDRA-13418,unsafe_aggressive_sstable_expiration,Allow TWCS to ignore overlaps when dropping fully expired sstables,https://issues.apache.org/jira/browse/CASSANDRA-13418,https://github.com/apache/cassandra/commit/14d67d81c57d6387c77bd85c57b342d285880835,feature selection,performance,vague task: read-repairs,perf: CPU intensive and time consuming,"you really want read-repairs, looking for fully expired ones",/,no
SPARK-28595,spark.sql.legacy.bucketedTableScan.outputOrdering,explain should not trigger partition listing,https://issues.apache.org/jira/browse/SPARK-28595,https://github.com/apache/spark/commit/469423f33887a966aaa33eb75f5e7974a0a97be,feature selection,performance,concrete Workload: a) all the bucket columns are read. b) there is only one file in each bucket. ,perf: get stuck for a while,"Sometimes when you explain a query, you will get stuck for a while. What's worse, you will get stuck again if you explain again. The outputOrdering is not very useful. We can only apply it if a) all the bucket columns are read. b) there is only one file in each bucket. This condition is really hard to meet, and even if we meet, sorting an already sorted file is pretty fast and avoiding the sort is not that useful. I think it's worth to give up this optimization so that explain don't need to get stuck.",/,no
SPARK-25850,spark.sql.codegen.methodSplitThreshold,Make the split threshold for the code generated method configurable,https://issues.apache.org/jira/browse/SPARK-25850,https://github.com/apache/spark/commit/e017cb39642a5039abd8ce8127ad41712901bdbc,threshold,performance,concrete performance comparison,perf: have a big performance impact for the client operations,"When the generated Java function source code exceeds `spark.sql.codegen.methodSplitThreshold`, it will be split into multiple small functions. This is useful for performance tuning","Balancing flexibility and simplicity:(test), but fianlly become general because ""It should be useful for performance tuning. - from a Contributor""",no
HBASE-23223,hbase.bucketcache.offsetlock.usestrongref,Support the offsetLock of bucketCache to use strong ref,https://issues.apache.org/jira/browse/HBASE-23223,https://github.com/apache/hbase/commit/4ea792246fbbc5adf9f4cede38c0513e2669b45,feature selection,performance,vague workload: mixed gc occurs,perf: lead to long puase,"The offsetLock of bucketCache use soft reference based impl by default,it could reclaim mem when not enough,but a lot of soft reference object would lead to long puase when mixed gc occurs,so if the count of offset is limited and you have enough mem(most of the time it is true),then the strong reference is better choice.",/,no
SPARK-17310,spark.sql.parquet.recordLevelFilter.enabled,[SQL] Add an option to disable record-level filter in Parquet-side,https://issues.apache.org/jira/browse/SPARK-17310,https://github.com/apache/spark/commit/673c67046598d33b9ecf864024ca7a937c1998d6,feature selection,performance,concrete performance comparison,perf: much faster,It seems Spark-side codegen row-by-row filtering might be faster than Parquet's one in general due to type-boxing and virtual function calls which Spark's one tries to avoid. Maybe we should perform a benchmark and disable this.,/,no
SPARK-24978,spark.sql.codegen.aggregate.fastHashMap.capacityBit,Add spark.sql.fast.hash.aggregate.row.max.capacity to configure the capacity of fast aggregation.,https://issues.apache.org/jira/browse/SPARK-24978,https://github.com/apache/spark/commit/6193a202aab0271b4532ee4b740318290f2c44a1,count,performance,concrete performance comparison,perf: nontrivial overheads,"give performance comparison, this pr add a configuration parameter to configure the capacity of fast aggregation.",/,no
CASSANDRA-14654,key_cache_migrate_during_compaction,Reduce heap pressure during compactions,https://issues.apache.org/jira/browse/CASSANDRA-14654,https://github.com/apache/cassandra/commit/7df67eff2d66dba4bed2b4f6aeabf05144d9b057,feature selection,performance,concrete workload: Small partition compactions(KeyCacheKey dominating heap pressure),perf: painfully slow,Small partition compactions,/,no
SPARK-27870,spark.sql.pandas.udf.buffer.size,Add a runtime buffer size CONFIGURation for Pandas UDFs,https://issues.apache.org/jira/browse/SPARK-27870,https://github.com/apache/spark/commit/26998b86c13e79582a3df31f6184f825cde45e73#,size,performance,vague scale: when multiple pandas UDF plans are pipelined.,"perf: the donwstream UDF's pipeline will lag behind too much, which may increase the total processing time.",This could improve performance when multiple pandas UDF plans are pipelined.,"Balancing flexibility and simplicity:Since these don't occur during normal operation, we can use rather lengthy timeouts, and don't need to make them configurable",no
HBASE-15482,hbase.TableSnapshotInputFormat.locality.enabled,Provide an option to skip calculating block locations for SnapshotInputFormat,https://issues.apache.org/jira/browse/HBASE-15482,https://github.com/apache/hbase/commit/5e7d16a3ceaeec5057474f9bae2d40d306f6dd8e#,feature selection,performance,vague workload: large snapshot,perf: this process may take a long time,"When a MR job is reading from SnapshotInputFormat, it needs to calculate the splits based on the block locations in order to get best locality. However, this process may take a long time for large snapshots.",/,no
HBASE-18083,hbase.regionserver.hfilecleaner.large.thread.count,Make large/small file clean thread number configurable in HFileCleaner,https://issues.apache.org/jira/browse/HBASE-18083,https://github.com/apache/hbase/commit/4fe73857679ecba89a7edd3c17d9f92e4c0e2164,thread/task number,performance,concrete workload: 1.8PB write pressure,perf: time consuming,"Currently we have only one thread for both large and small file cleaning, but when write pressure is huge we might need more cleaner threads, so we need to make the thread number configurable",/,no
HBASE-18083,hbase.regionserver.hfilecleaner.small.thread.count,Make large/small file clean thread number configurable in HFileCleaner,https://issues.apache.org/jira/browse/HBASE-18083,https://github.com/apache/hbase/commit/4fe73857679ecba89a7edd3c17d9f92e4c0e2164,thread/task number,performance,concrete workload: 1.8PB write pressure,perf: time consuming,"Currently we have only one thread for both large and small file cleaning, but when write pressure is huge we might need more cleaner threads, so we need to make the thread number configurable",/,no
CASSANDRA-12526,single_sstable_uplevel,Bump SSTable level instead of rewriting SSTable completely during single-sstable compactions,https://issues.apache.org/jira/browse/CASSANDRA-12526,https://github.com/apache/cassandra/commit/53c0ef171424454c47d64a9326b0ba83cd743a50,feature selection,performance,concrete Workload:a ton of newly inserted partitions that will never merge in compactions,perf: time consuming,a ton of newly inserted partitions that will never merge in compactions,Balancing flexibility and simplicity:which is probably the worst kind of workload for LCS,no
SPARK-24727,spark.sql.codegen.cache.maxEntries,[SQL] Add a static CONFIG to control cache size for generated classes,https://issues.apache.org/jira/browse/SPARK-24727,https://github.com/apache/spark/commit/b2deef64f604ddd9502a31105ed47cb63470ec85,threshold,performance,vague Task:realtime streaming calculation,perf: time consuming,"The cache 100 in CodeGenerator is too small for realtime streaming calculation, although is ok for offline calculation. Because realtime streaming calculation is mostly more complex in one driver, and performance sensitive.",/,no
HBASE-20401,hbase.regionserver.hfilecleaner.thread.check.interval.msec,Make MAX_WAIT and waitIfNotFinished in CleanerContext configurable,https://issues.apache.org/jira/browse/HBASE-20401,https://github.com/apache/hbase/commit/4613f3e8c740e881505fcd2c661a0e28462eb459,interval,performance,vague Environment: high latency storage,perf: wait too long,"1. While deleting a oldwal never complete (strange but possible), then delete file task needs to wait for a max of 60 seconds. Here, 60 seconds might be too long, or the opposite way is to increase more than 60 seconds in the use cases of slow file delete. 2. The check and wait of a file delete is set to default in the period of 500 milliseconds, one might want to tune this checking period to a short interval to check more frequently or to a longer interval to avoid checking too often to manage their delete file task checking period (the longer interval may be use to avoid checking too fast while using a high latency storage).",/,no
HBASE-20401,hbase.oldwals.cleaner.thread.check.interval.msec,Make MAX_WAIT and waitIfNotFinished in CleanerContext configurable,https://issues.apache.org/jira/browse/HBASE-20401,https://github.com/apache/hbase/commit/4613f3e8c740e881505fcd2c661a0e28462eb459,interval,performance,vague Environment: high latency storage,perf: wait too long,"1. While deleting a oldwal never complete (strange but possible), then delete file task needs to wait for a max of 60 seconds. Here, 60 seconds might be too long, or the opposite way is to increase more than 60 seconds in the use cases of slow file delete. 2. The check and wait of a file delete is set to default in the period of 500 milliseconds, one might want to tune this checking period to a short interval to check more frequently or to a longer interval to avoid checking too often to manage their delete file task checking period (the longer interval may be use to avoid checking too fast while using a high latency storage).",/,no
HBASE-20401,hbase.regionserver.hfilecleaner.thread.timeout.msec,Make MAX_WAIT and waitIfNotFinished in CleanerContext configurable,https://issues.apache.org/jira/browse/HBASE-20401,https://github.com/apache/hbase/commit/4613f3e8c740e881505fcd2c661a0e28462eb459,timeout,performance,vague workload: file delete,perf: wait too long,"1. While deleting a oldwal never complete (strange but possible), then delete file task needs to wait for a max of 60 seconds. Here, 60 seconds might be too long, or the opposite way is to increase more than 60 seconds in the use cases of slow file delete. 2. The check and wait of a file delete is set to default in the period of 500 milliseconds, one might want to tune this checking period to a short interval to check more frequently or to a longer interval to avoid checking too often to manage their delete file task checking period (the longer interval may be use to avoid checking too fast while using a high latency storage).",/,no
SPARK-22233,spark.files.ignoreEmptySplits,[CORE] Allow user to filter out empty split in HadoopRDD,https://issues.apache.org/jira/browse/SPARK-22233,https://github.com/apache/spark/commit/014dc8471200518d63005eed531777d30d8a6639,feature selection,performance,concrete workload: Hive will create an empty table with many empty files,Resouce overuse: Spark will spends much more resources,"Sometimes, Hive will create an empty table with many empty files, Spark use the InputFormat stored in Hive Meta Store and will not combine the empty files and therefore generate many tasks to handle this empty files. Hive use CombineHiveInputFormat(hive.input.format) by default. So, in this case, Spark will spends much more resources than hive.",/,no
SPARK-21923,spark.storage.unrollMemoryGrowthFactor,[CORE] Avoid calling reserveUnrollMemoryForThisTask for every record,https://issues.apache.org/jira/browse/SPARK-21923,https://github.com/apache/spark/commit/a11db942aaf4c470a85f8a1b180f034f7a584254,factor,performance,concrete Task: When Spark persist data to Unsafe memory,resource overuse: cause unnecessary synchronize,"When Spark persist data to Unsafe memory, we call the method `MemoryStore.putIteratorAsBytes`, which need synchronize the `memoryManager` for every record write. This implementation is not necessary, we can apply for more memory at a time to reduce unnecessary synchronization.",/,no
SPARK-21923,spark.storage.unrollMemoryCheckPeriod,[CORE] Avoid calling reserveUnrollMemoryForThisTask for every record,https://issues.apache.org/jira/browse/SPARK-21923,https://github.com/apache/spark/commit/a11db942aaf4c470a85f8a1b180f034f7a584254,interval,performance,concrete Task: When Spark persist data to Unsafe memory,resource overuse: cause unnecessary synchronize,"When Spark persist data to Unsafe memory, we call the method `MemoryStore.putIteratorAsBytes`, which need synchronize the `memoryManager` for every record write. This implementation is not necessary, we can apply for more memory at a time to reduce unnecessary synchronization.",/,no
HBASE-21582,hbase.snapshot.sentinels.cleanup.timeoutMillis,If call HBaseAdmin#snapshotAsync but forget call isSnapshotFinished then SnapshotHFileCleaner will skip to run every time,https://issues.apache.org/jira/browse/HBASE-21582,https://github.com/apache/hbase/commit/f32d2618430f70e1b0db92785294b2c7892cc02b,timeout,performance,concrete task: remove the SnapshotSentinel from snapshotHandlers in SnapshotManage,uxepected result: skip to run every time,"If call HBaseAdmin#snapshotAsync but forget call isSnapshotFinished, then SnapshotHFileCleaner will skip to run every time",/,no
HBASE-20449,hbase.normalizer.min.region.count,The minimun number of region should be CONFIGURable,https://issues.apache.org/jira/browse/HBASE-20449,https://github.com/apache/hbase/commit/80cbc0d1fefdba1492d7ec6e580ad54a2960cbdb,threshold,performance,unknow,/,the minimun number of region should be configurable in normalizable,/,yes
HDFS-12482,dfs.datanode.ec.reconstruction.xmits.weight,Provide a configuration to adjust the weight of EC recovery tasks to adjust the speed of recovery,https://issues.apache.org/jira/browse/HDFS-12482,https://github.com/apache/hadoop/commit/9367c25dbdfedf60cdbd65611281cf9c667829e6,weights,performance,unknow,/,we can add a coefficient for user to tune the weight of EC recovery tasks.,/,yes
SPARK-25233,spark.streaming.kafka.minRatePerPartition,Give the user the option of specifying a minimum message per partition per batch when using kafka direct API with backpressure,https://issues.apache.org/jira/browse/SPARK-25233,https://github.com/apache/spark/commit/135ff16a3510a4dfb3470904004dae9848005019,threshold,performance,unknow,/,It would be better if the user has the option of setting the minimum instead of just a hard coded 1 limit.,/,yes
SPARK-29939,spark.shuffle.mapStatus.compression.codec,Add spark.shuffle.mapStatus.compression.codec conf,https://issues.apache.org/jira/browse/SPARK-29939,https://github.com/apache/spark/commit/456cfe6e4693efd26d64f089d53c4e01bf8150a,feature selection,performance,unknow,/,"All the other compressions have conf. Could we do it for this too? (We already have this functionality for broadcast/rdd/shuffle/shuflleSpill, so it might be better to have the same functionality for MapStatus as well.)",/,yes
HDFS-14553,dfs.namenode.blockreport.queue.size,Make queue size of BlockReportProcessingThread configurable,https://issues.apache.org/jira/browse/HDFS-14553,https://github.com/apache/hadoop/commit/bd46bdf9f9244f3f3474d316255ac98717ed5719,size,performance,vague usecase: Block report queue is full,Failure: Block report queue is full,"Worth noting that we had a few experience with ""Block report queue is full"" and client would fail to close files. ",/,yes
HDFS-12947,dfs.namenode.snapshot.max.limit,Limit the number of Snapshots allowed to be created for a Snapshottable Directory,https://issues.apache.org/jira/browse/HDFS-12947,https://github.com/apache/hadoop/commit/4d1bf33d0fa7689a6f83a9c6e5adaac665c0d5d5,count,performance,vague workload: large number snapshot deletion,Failure: namenode crash,"A snapshot table directory is able to accommodate 65,536 snapshots. In case a directory has large no of snapshots , deletion of any of the earlier snapshots take a lot of time which might lead to namenode crash (HDFS-11225)",/,yes
HDFS-14655,dfs.qjournal.parallel-read.num-threads,[SBN Read] Namenode crashes if one of The JN is down.,https://issues.apache.org/jira/browse/HDFS-14655,https://github.com/apache/hadoop/commit/eb96a3093ea34a7749410a63c72b6d0a9636d80,count,performance,vague: one of The JN is down,Failure: Namenode crashes,"""I don't think we want a fixed thread pool"", ""Hey guys, discussed this with Chen. It seems that we need a pool of only 3 threads, which can be reused for each iteration of tailing.""",/,yes
CASSANDRA-14580,periodic_commitlog_sync_lag_block_in_ms,Make PeriodicCommitLogService.blockWhenSyncLagsNanos configurable,https://issues.apache.org/jira/browse/CASSANDRA-14580,https://github.com/apache/cassandra/commit/176d4bac22c356c80e275dcb4040bc5cbd0da1c2,interval,performance,vague workload:a lag in flushing to disc,perf: block for up to 15 seconds,"When using the default values for periodic commitlog, the sync is every ten seconds and if there's a lad in flushing to disc, we can block for up to 15 seconds (sync time * 1.5). However, if you lower the sync time to 1 second, for example, the block time is only 1.5 seconds (not acceptable in all situations). Admittedly this is only an expert-level setting, but useful in some cases.","Balancing flexibility and simplicity: Admittedly this is only an expert-level setting, but useful in some cases.",yes
SPARK-29654,spark.metrics.static.sources.enabled,Add CONFIGURATION to allow disabling registration of static sources to the metrics system,https://issues.apache.org/jira/browse/SPARK-29654,https://github.com/apache/spark/commit/2888009d6660183674de7da456b54247c1b8ca2,feature selection,performance,vague: in the cases when the metrics in question are not needed,perf: can produce a significant amount of data,"The Spark metrics system produces many different metrics and not all of them are used at the same time. This proposes to introduce a configuration parameter to allow disabling the registration of metrics in the ""static sources"" category",/,yes
SPARK-29189,spark.sql.sources.ignore.datalocality,Add an OPTION to ignore block locations when listing file,https://issues.apache.org/jira/browse/SPARK-29189,https://github.com/apache/spark/commit/64fe82b519bdc854fcbef40e906ac1fb181534c,feature selection,performance,"concrete Environment: in a PROD environment, a table can be so huge that even fetching all these location informations need take tens of seconds.",perf: data locality is never reachable.,"n our PROD env, we have a pure Spark cluster, I think this is also pretty common, where computation is separated from storage layer. In such deploy mode, data locality is never reachable. And there are some configurations in Spark scheduler to reduce waiting time for data locality(e.g. ""spark.locality.wait""). While, problem is that, in listing file phase, the location informations of all the files, with all the blocks inside each file, are all fetched from the distributed file system. Actually, in a PROD environment, a table can be so huge that even fetching all these location informations need take tens of seconds. To improve such scenario, Spark need provide an option, where data locality can be totally ignored, all we need in the listing file phase are the files locations, without any block location informations.",/,yes
HDFS-12528,dfs.domain.socket.disable.interval.seconds,Add an option to not disable short-circuit reads on failures,https://issues.apache.org/jira/browse/HDFS-12528,https://github.com/apache/hadoop/commit/2e7331ca264dd366b975f3c8e610cf84eb8cc155,interval,performance,concrete Task: data ingestion makes use of the -appendToFile operation to add new data to existing HDFS files,perf: have a big performance impact for the client operations,"It might also be interesting to be able to control how long SCR is disabled for in the ""unknown response"" case. 10 minutes seems a bit to long and not being able to change that is a problem.",/,yes
HDFS-13831,dfs.namenode.block.deletion.increment,Make block increment deletion number configurable,https://issues.apache.org/jira/browse/HDFS-13831,https://github.com/apache/hadoop/commit/b9b964d25335943fb15cdfcf369d123bbd7e454a,count,performance,vague workload: large directory deletion,perf: hold the write lock long time,"When NN deletes a large directory, it will hold the write lock long time. For improving this, we remove the blocks in a batch way. So that other waiters have a chance to get the lock. But right now, the batch number is a hard-coded value. We can make this value configurable, so that we can control the frequency of other waiters to get the lock chance.",/,yes
HDFS-13820,dfs.namenode.caching.enabled,Add an ability to disable CacheReplicationMonitor.,https://issues.apache.org/jira/browse/HDFS-13820,https://github.com/apache/hadoop/commit/335a8139f5b9004414b2942eeac5a008283a6f75,feature selection,performance,concrete performance comparison,perf: nontrivial overheads in processing,"we have seen from the FSNamesystem metrics added in HDFS-10872 that CacheReplicationMonitor can have nontrivial overheads even on a cluster with no caching enabled, and currently there is no way to disable it completely..",/,yes
