Issue-ID,Parameter,Title,Issue-URL,Commit-URL,Param type,Rationale,New scenario/use case,Impact,Note,discussion,Whether documented
HDFS-14858,dfs.namenode.state.context.enabled,[SBN read] Allow CONFIGURably enable/disable AlignmentContext on NameNode.,https://issues.apache.org/jira/browse/HDFS-14858,https://github.com/apache/hadoop/commit/1303255aee75e5109433f937592a890e8d274ce,feature selection,performance,concrete workload: Ran a few benchmarks (NNThroughputBenchmark) and profiler (VisualVM) today on an Observer-enabled cluster. Would like to share the results with the community. The cluster has 1 Observer node.,perf: One potential overhead of SBN read,"As brought up under HDFS-14277, we should make sure SBN read has no performance impact when it is not enabled. One potential overhead of SBN read is maintaining and updating additional state status on NameNode. Specifically, this is done by creating/updating/checking a GlobalStateIdContext instance. Currently, even without enabling SBN read, this logic is still be checked. We can make this configurable so that when SBN read is not enabled, there is no such overhead and everything works as-is.",/,yes
HDFS-14844,dfs.client.block.reader.remote.buffer.size,Make buffer of BlockReaderRemote#newBlockReader#BufferedOutputStream configurable.,https://issues.apache.org/jira/browse/HDFS-14844,https://github.com/apache/hadoop/commit/3f223bebfa6b382a762edcc518fcbae310ce22e,size,performance,"vague: It is recommended to adjust the value according to the workload, which can reduce unnecessary memory usage and the frequency of the garbage collection. A value of 512 might be reasonable.",perf: Reducing the size of the buffer will also reduce the frequency of gc and improve read performance.,/,/,yes
HDFS-13488,dfs.federation.router.client.reject.overload,RBF: Reject requests when a Router is overloaded.,https://issues.apache.org/jira/browse/HDFS-13488,https://github.com/apache/hadoop/commit/37269261d1232bc71708f30c76193188258ef4bd,feature selection,performance,vague environment: a slow subcluster,perf: router overloaded,A Router might be overloaded when handling special cases (e.g. a slow subcluster),/,yes
HDFS-12191,dfs.namenode.snapshot.skip.capture.accesstime-only-change,Provide option to not capture the accessTime change of a file to snapshot if no other modification has been done to this file,https://issues.apache.org/jira/browse/HDFS-12191,https://github.com/apache/hadoop/commit/cf93d60d3f032000e5b78a08d320793d78799f3d,feature selection,performance,"concrete usecase: if the accessTime of a file changed before a snapshot is taken,  a lot of files to be examined.",perf: snapshotDiff to slow down quite a lot,"Currently, if the accessTime of a file changed before a snapshot is taken, this accessTime will be captured in the snapshot, even if there is no other modifications made to this file. This jira is to provide an option to skip capturing accessTime only change to snapshot. Thus snapshotDiff can be done faster.",/,yes
HDFS-14201,dfs.ha.nn.not-become-active-in-safemode,Ability to disallow safemode NN to become active,https://issues.apache.org/jira/browse/HDFS-14201,https://github.com/apache/hadoop/commit/3ab77d9bc9eacfdb218b68988235a921c810b0d1#,feature selection,performance,vague workload:are large number of files and blocks in HDFS,perf: the cluster will be not fully functioning for quite a while,"It can take tens of minutes for a cold started Namenode to get out of safemode, especially when there are large number of files and blocks in HDFS, that means if a Namenode in safemode become active, the cluster will be not fully functioning for quite a while, even if it can while there is some Namenode not in safemode.",/,yes
HDFS-12544,dfs.namenode.snapshotdiff.allow.snap-root-descendant,SnapshotDiff - support diff generation on any snapshot root descendant directory.,https://issues.apache.org/jira/browse/HDFS-12544,https://github.com/apache/hadoop/commit/075dd45a24398dcdcddd60da995f0dc152eee321,feature selection,performance,vague environment: snapshot root directory is very huge,perf: the snapshot diff report generation can take minutes,"The command today only accepts the path that is a snapshot root. There are many deployments where the snapshot root is configured at the higher level directory but the diff report needed is only for a specific directory under the snapshot root. In these cases, the diff report can be filtered for changes pertaining to the directory we are interested in. But when the snapshot root directory is very huge, the snapshot diff report generation can take minutes even if we are interested to know the changes only in a small directory. So, it would be highly performant if the diff report calculation can be limited to only the interesting sub-directory of the snapshot root instead of the whole snapshot root.",/,yes
HDFS-13821,dfs.federation.router.mount-table.cache.enable,RBF: Add dfs.federation.router.mount-table.cache.enable so that users can disable cache.,https://issues.apache.org/jira/browse/HDFS-13821,https://github.com/apache/hadoop/commit/81847392badcd58d934333e7c3b5bf14b4fa1f3f,feature selection,performance,concrete workload: hundreds of millions file access,perf: time consuming,"Disabling Cache is efficient when hundreds of millions files are access, in such scenes ProxyAvgTime only costs 0.0x ms by directly computing remote path,  It caches the request paths, and return the remote location. Maybe request paths are hundreds of millions and the cache is inefficient",/,yes
CASSANDRA-12245,concurrent_materialized_view_builders,Parallelize initial materialized view build,https://issues.apache.org/jira/browse/CASSANDRA-12245,https://github.com/apache/cassandra/commit/4c80eeece37d79f434078224a0504400ae10a20d,thread/task number,performance,concrete Workload: node with lots of data (~3TB),perf: time consuming(building materialized view),"On a node with lots of data (~3TB) building a materialized view takes several weeks, which is not ideal. It's doing this in a single thread.",/,yes
HDFS-13796,dfs.provided.aliasmap.inmemory.server.log,Allow verbosity of InMemoryLevelDBAliasMapServer to be configurable.,https://issues.apache.org/jira/browse/HDFS-13796,https://github.com/apache/hadoop/commit/b1a59b164412fbd9f641a7e992a7d1a3fd0f1a10,feature selection,performance,vague Scale: large numer of nodes,perf: too many log messages,This leads to too many log messages when running with large number of nodes/rpcs to the InMemoryLevelDBAliasMapServer,/,yes
HBASE-6028,hbase.regionserver.compaction.enabled,Start/Stop compactions at region server level,https://issues.apache.org/jira/browse/HBASE-6028,https://github.com/apache/hbase/commit/950d6e6fb0fdcf923aea66e17e617c06ecd5a628#,feature selection,performance,vague workload: when too many regions became eligible for compactions at once,Resource overuse: extremely expensive to run periodic minor / major compactions,"Depending on current server load, it can be extremely expensive to run periodic minor / major compactions. It would be helpful to have a feature where a user could use the shell or a client tool to explicitly cancel an in-progress compactions. This would allow a system to recover when too many regions became eligible for compactions at once",/,yes
HBASE-18846,hbase.regionserver.admin.executorService,Accommodate the hbase-indexer/lily/SEP consumer deploy-typePatch to start a standalone RegionServer that register's itself andoptionally stands up Services.,https://issues.apache.org/jira/browse/HBASE-18846,https://github.com/apache/hbase/commit/456057ef90f152315a7f244141f3fca4ff748336,feature selection,Reliability,concrete usecase: solve bug,/,"This patch adds configuration to disable RegionServer internal Services, Managers, Caches, etc., starting up. By default a RegionServer starts up an Admin and Client Service. ",/,no
HBASE-18846,hbase.regionserver.client.executorService,Accommodate the hbase-indexer/lily/SEP consumer deploy-typePatch to start a standalone RegionServer that register's itself andoptionally stands up Services.,https://issues.apache.org/jira/browse/HBASE-18846,https://github.com/apache/hbase/commit/456057ef90f152315a7f244141f3fca4ff748336,feature selection,Reliability,concrete usecase: solve bug,/,"This patch adds configuration to disable RegionServer internal Services, Managers, Caches, etc., starting up. By default a RegionServer starts up an Admin and Client Service. ",/,no
HBASE-18248,hbase.taskmonitor.max.tasks,Warn if monitored RPC task has been tied up beyond a configurable threshold,https://issues.apache.org/jira/browse/HBASE-18248,https://github.com/apache/hbase/commit/d0941127d424bc76688aec7952388f858d917b14,threshold,Reliability,vague task: rpc task,/,Warn if monitored task has been tied up beyond a configurable threshold. We especially want to do this for RPC tasks,/,no
HBASE-18248,hbase.taskmonitor.expiration.time,Warn if monitored RPC task has been tied up beyond a configurable threshold,https://issues.apache.org/jira/browse/HBASE-18248,https://github.com/apache/hbase/commit/d0941127d424bc76688aec7952388f858d917b14,timeout,Reliability,vague task: rpc task,/,Warn if monitored task has been tied up beyond a configurable threshold. We especially want to do this for RPC tasks.,Balancing flexibility and simplicity: We could restrict this change to them so its completely optional.,no
HBASE-18675,hbase.zookeeper.property.minSessionTimeout,Making {max min}SessionTimeout configurable for MiniZooKeeperCluster,https://issues.apache.org/jira/browse/HBASE-18675,https://github.com/apache/hbase/commit/b5942241cadd79147a5d65457f93aaa39aa7118e,timeout,Reliability,vague when the laptop goes to sleep ,Failure: cluster keep crashing,Right now the mini cluster on application developers laptops keep crashing when the laptop goes to sleep because Zookeeper times out.,/,no
HBASE-18675,hbase.zookeeper.property.maxSessionTimeout,Making {max min}SessionTimeout configurable for MiniZooKeeperCluster,https://issues.apache.org/jira/browse/HBASE-18675,https://github.com/apache/hbase/commit/b5942241cadd79147a5d65457f93aaa39aa7118e,timeout,Reliability,vague when the laptop goes to sleep ,Failure: cluster keep crashing,Right now the mini cluster on application developers laptops keep crashing when the laptop goes to sleep because Zookeeper times out.,/,no
SPARK-23997,spark.sql.bucketing.maxBuckets,Configurable maximum number of buckets,https://issues.apache.org/jira/browse/SPARK-23997,https://github.com/apache/spark/commit/de46df549acee7fda56bb0871f444d2f3b49e582,threshold,Reliability,concrete Workload:save 80TB data,"Failure: driver fail over will not work, java.lang.IllegalArgumentException","We have an 80TB workload and to keep partitions ""manageable"" we do need to use a large number of buckets. While it might seem a lot today it is expected that workloads will continue to increase in size...",/,no
HBASE-19289,hbase.unsafe.stream.capability.enforce,Add flag to disable stream capability enforcement,https://issues.apache.org/jira/browse/HBASE-19289,https://github.com/apache/hbase/commit/2c9ef8a471148ece655b881cc490b6b685d634f4,feature selection,Reliability,concrete Environment: FileSystem doesn't support flush/sync,Failure: java.io.IOException,Sounds like LocalFileSystem doesn't support flush/sync. solutions: telling CommonFSUtils to ignore the check on LocalFileSystem,/,no
SPARK-23182,io.enableTcpKeepAlive,Allow enabling TCP keep alive on the RPC connections,https://issues.apache.org/jira/browse/SPARK-23182,https://github.com/apache/spark/commit/c01152dd22093e9f5d2aa533598e4d4209d30922#,feature selection,Reliability,concrete workload: We run a cluster of ~1000 cores in GCE using preemptible VMs for executors / workers and a standard (non-preemptible) master VM,"Failure: master errors with ""Too many open files"" and can not accept connections anymore","It's currently possible to enable TCP keep alive on the worker / executor, but is not possible to configure on other RPC connections. It's unclear to me why this could be the case. Keep alive is more important for the master to protect it against suddenly departing workers / executors, thus I think it's very important to have it.",/,no
CASSANDRA-14096,repair_session_max_tree_depth,Improve merkle tree size and time on heap,https://issues.apache.org/jira/browse/CASSANDRA-14096,https://github.com/apache/cassandra/commit/b30c8c98a594a5682f6ea1f0b5511463b700b6e8,threshold,Reliability,concrete Environment: memory limit,Failure: OOM,We get out of memory errors while repairing (incremental or full) our keyspace,Balancing flexibility and simplicity: It seems like the simplest solution might be to just repair smaller subranges if youre ooming on huge merkle trees during repair,no
HBASE-19418,hbase.regionserver.periodicmemstoreflusher.rangeofdelayseconds,configurable range of delay in PeriodicMemstoreFlusher,https://issues.apache.org/jira/browse/HBASE-19418,https://github.com/apache/hbase/commit/668a17988222e7657ff21f945b6dd023bda4276c,interval,Reliability,vague workload: man'y regions and CFs,Failure: overwhelming the filesystem with too many flushes at once,"When RSs(RegionServer) have a LOT of regions and CFs(column family), flushing everything within 5 minutes is not always doable. It might be interesting to be able to increase the RANGE_OF_DELAY. we might end up overwhelming the filesystem with too many flushes at once",/,no
SPARK-26601,spark.sql.broadcastExchange.maxThreadThreshold,Make broadcast-exchange thread pool keepalivetime and maxThreadNumber configurable,https://issues.apache.org/jira/browse/SPARK-26601,https://github.com/apache/spark/commit/126310ca68f2f248ea8b312c4637eccaba2fdc2b,threshold,Reliability,vague use case: slow GC speed,Failure: server(driver) OOM,Thead object do not GC quickly,/,no
CASSANDRA-15260,allocate_tokens_for_local_replication_factor,Add `allocate_tokens_for_local_rf` yaml option for token allocation that doesn't require keyspace knowledge/existence,https://issues.apache.org/jira/browse/CASSANDRA-15260,https://github.com/apache/cassandra/commit/068d2d37c6fbdb60546821c4d408a84161fd1cb6,factor,Reliability,concrete task: adding new datacenters.,Failure: The real keyspace can not be used,"This is problematic in a number of ways. The real keyspace can not be used when adding new datacenters as, in practice, all its nodes need to be up and running before it has the capacity to replicate data into it. New datacenters (or lift-and-shifting a cluster via datacenter migration) therefore has to be done using a dummy keyspace that duplicates the replication strategy+factor of the real keyspace. This gets even more difficult come version 4.0, as the replica factor can not even be defined in new datacenters before those datacenters are up and running. These issues are removed by avoiding the keyspace definition and lookup, and presuming the replica strategy is by datacenter, ie NTS. This can be done with the use of an allocate_tokens_for_dc_rf option.",/,no
HDFS-14652,ha.health-monitor.rpc.connect.max.retries,HealthMonitor connection retry times should be configurable.,https://issues.apache.org/jira/browse/HDFS-14652,https://github.com/apache/hadoop/commit/d086d058d87ecb94fc750ba6f3ccae522658ac8,count,Reliability,vague: some client's burst requests,Failure: This error caused a failover and affects the availability of that cluster,"On our production HDFS cluster, some client's burst requests cause the tcp kernel queue full on NameNode's host,  since the configuration value of ""net.ipv4.tcp_syn_retries"" in our environment is 1, so after 3 seconds, the ZooKeeper Healthmonitor got an connection error",/,no
HBASE-23293,replication.source.shipedits.timeout,[REPLICATION] make ship edits timeout configurable,https://issues.apache.org/jira/browse/HBASE-23293,https://github.com/apache/hbase/commit/17468efb88a99c6b5237575b784b8c105fc5c46,timeout,Reliability,vague workload: some HFile is big enough,Failure: timeout exception may be occurred.,"The default rpc timeout for ReplicationSourceShipper#shipEdits is 60s, when bulkload replication enabled, timeout exception may be occurred. when there is slow N/w and some file copy fails always to copy within the configured time. For example, if some HFile is big enough which may take more than 60 sec to be copied then it will always timedout.",Balancing flexibility and simplicity: Then main goal of this change is providing an alternative valve for increasing the timeout?,no
HBASE-20305,sync.table.do.deletes doDeletes(cmd line option),adding options to skip deletes/puts on target when running SyncTable,https://issues.apache.org/jira/browse/HBASE-20305,https://github.com/apache/hbase/commit/f574fd478211f795aa4a3365ae2ba2d368fea54d,feature selection,Reliability,concrete usecase: clusters with active-active replication got out of sync,uxepected result: data curruption,"We had a situation where two clusters with active-active replication got out of sync, but both had data that should be kept. The tables in question never have data deleted, but ingestion had happened on the two different clusters, some rows had been even updated. This could be solved by adding an option to skip deletes for SyncTable.",/,no
HBASE-20305,sync.table.do.puts doPuts(cmd line option),adding options to skip deletes/puts on target when running SyncTable,https://issues.apache.org/jira/browse/HBASE-20305,https://github.com/apache/hbase/commit/f574fd478211f795aa4a3365ae2ba2d368fea54d,feature selection,Reliability,concrete usecase: clusters with active-active replication got out of sync,uxepected result: data curruption,"We had a situation where two clusters with active-active replication got out of sync, but both had data that should be kept. The tables in question never have data deleted, but ingestion had happened on the two different clusters, some rows had been even updated. This could be solved by adding an option to skip deletes for SyncTable.",/,no
HBASE-12091,hbase.replication.drop.on.deleted.table,Optionally ignore edits for dropped tables for replication.,https://issues.apache.org/jira/browse/HBASE-12091,https://github.com/apache/hbase/commit/0c4fbcc32973e9fb3840cb2b5e397155044c2b0c,feature selection,Reliability,concrete usecase: dropped a table from both the source and the sink,uxepected result: Now all replication is backed up behind these unreplicatable edits,"We just ran into a scenario where we dropped a table from both the source and the sink, but the source still has outstanding edits that now it could not get rid of. Now all replication is backed up behind these unreplicatable edits. We should have an option to ignore edits for tables dropped at the source.",/,no
SPARK-21456,spark.mesos.driver.failoverTimeout,Make the driver failover_timeout CONFIGurable,https://issues.apache.org/jira/browse/SPARK-21456,https://github.com/apache/spark/commit/c42ef953343073a50ef04c5ce848b574ff7f2238,timeout,Reliability,unknow,/,"Instead of setting the driver framework failover_timeout to zero, the failover_timeout will be configurable via a spark-submit config option. The default value will still be zero if the configuration is not set.",/,yes
SPARK-25694,spark.sql.defaultUrlStreamHandlerFactory.enabled,Add a CONFIG for `URL.setURLStreamHandlerFactory`,https://issues.apache.org/jira/browse/SPARK-25694,https://github.com/apache/spark/commit/ee3bd6d76887ccc4961fd520c5d03f7edd3742a,feature selection,Reliability,concrete task: when the users tries to use another custom factories or 3rd party library (trying to set this).,Failure:  This causes exceptions,"URL.setURLStreamHandlerFactory() in SharedState causes URL.openConnection() returns FsUrlConnection object, which is not compatible with HttpURLConnection. This will cause exception when using some third party http library (e.g. scalaj.http).",/,yes
HDFS-13174,dfs.balancer.max-iteration-time,hdfs mover -p /path times out after 20 min.,https://issues.apache.org/jira/browse/HDFS-13174,https://github.com/apache/hadoop/commit/c966a3837af1c1a1c4a441f491b0d76d5c9e5d78,interval,Reliability,concrete usecase: block move was enqueued,Failure: Block move timed out,"Mover could have fail after 20+ minutes if a block move was enqueued for this long, between two DataNodes due to an internal constant that was introduced for Balancer, but affected Mover as well.",/,yes
SPARK-20640,spark.shuffle.registration.timeout,Make rpc timeout and retry for shuffle registration CONFIGurable.,https://issues.apache.org/jira/browse/SPARK-20640,https://github.com/apache/spark/commit/d107b3b910d8f434fb15b663a9db4c2dfe0a9f43#,timeout,Reliability,vague workload: shuffle service is busy transferring large amount of data,"Failure: fail to register with the shuffle service, eventually failing the job","This works well for small workloads but under heavy workload when the shuffle service is busy transferring large amount of data we see significant delay in responding to the registration request, as a result we often see the executors fail to register with the shuffle service, eventually failing the job. We need to make these two parameters configurable.",/,yes
SPARK-20640,spark.shuffle.registration.maxAttempts,Make rpc timeout and retry for shuffle registration CONFIGurable.,https://issues.apache.org/jira/browse/SPARK-20640,https://github.com/apache/spark/commit/d107b3b910d8f434fb15b663a9db4c2dfe0a9f43#,count,Reliability,vague workload: shuffle service is busy transferring large amount of data,"Failure: fail to register with the shuffle service, eventually failing the job","This works well for small workloads but under heavy workload when the shuffle service is busy transferring large amount of data we see significant delay in responding to the registration request, as a result we often see the executors fail to register with the shuffle service, eventually failing the job. We need to make these two parameters configurable.",/,yes
HDFS-13735,dfs.qjournal.http.open.timeout.ms ,Make QJM HTTP URL connection timeout configurable,https://issues.apache.org/jira/browse/HDFS-13735,https://github.com/apache/hadoop/commit/5326a7906de7c86a236d948012cabf3a9ba82310,timeout,Reliability,vague workload:  huge RPC spike,Failure: huge RPC spike could occur with the timeout.,"The HTTP connection is opened while holding the NN read/write lock (see readOp() inside FSEditLogLoaderand how it calls EditLogFileInputStream#init() to open HTTP connection with JNs.), so huge RPC spike could occur with the timeout.",/,yes
HDFS-13735,dfs.qjournal.http.read.timeout.ms,Make QJM HTTP URL connection timeout configurable,https://issues.apache.org/jira/browse/HDFS-13735,https://github.com/apache/hadoop/commit/5326a7906de7c86a236d948012cabf3a9ba82310,timeout,Reliability,vague workload:  huge RPC spike,Failure: huge RPC spike could occur with the timeout.,"The HTTP connection is opened while holding the NN read/write lock (see readOp() inside FSEditLogLoaderand how it calls EditLogFileInputStream#init() to open HTTP connection with JNs.), so huge RPC spike could occur with the timeout.",/,yes
HDFS-12210,dfs.cblock.rpc.timeout.seconds,Block Storage: volume creation times out while creating 3TB volume because of too many containers.,https://issues.apache.org/jira/browse/HDFS-12210,https://github.com/apache/hadoop/commit/9ff136bb02907366352a77a70248cb2e7720883a,timeout,Reliability,concrete workload: creating 3TB volume,Failure: SocketTimeoutException,Volume creation times out while creating 3TB volume because of too many containers. Looking into the logs it can be seen that the volume 614 containers were created before the timeout.,/,yes
SPARK-27023,spark.kubernetes.submission.requestTimeout,Make k8s client timeouts configurable,https://issues.apache.org/jira/browse/SPARK-27023,https://github.com/apache/spark/commit/e9e8bb33ef9ad785473ded168bc85867dad4ee70,timeout,Reliability,vague Environment: in Kubernetes mode,Failure: SocketTimeoutException,SparkSubmit closes with SocketTimeoutException in kubernetes mode,/,yes
SPARK-27023,spark.kubernetes.submission.connectionTimeout,Make k8s client timeouts configurable,https://issues.apache.org/jira/browse/SPARK-27023,https://github.com/apache/spark/commit/e9e8bb33ef9ad785473ded168bc85867dad4ee70,timeout,Reliability,vague Environment: in Kubernetes mode,Failure: SocketTimeoutException,SparkSubmit closes with SocketTimeoutException in kubernetes mode,/,yes
SPARK-27023,spark.kubernetes.driver.requestTimeout,Make k8s client timeouts configurable,https://issues.apache.org/jira/browse/SPARK-27023,https://github.com/apache/spark/commit/e9e8bb33ef9ad785473ded168bc85867dad4ee70,timeout,Reliability,vague Environment: in Kubernetes mode,Failure: SocketTimeoutException,SparkSubmit closes with SocketTimeoutException in kubernetes mode,/,yes
SPARK-27023,spark.kubernetes.driver.connectionTimeout,Make k8s client timeouts configurable,https://issues.apache.org/jira/browse/SPARK-27023,https://github.com/apache/spark/commit/e9e8bb33ef9ad785473ded168bc85867dad4ee70,timeout,Reliability,vague Environment: in Kubernetes mode,Failure: SocketTimeoutException,SparkSubmit closes with SocketTimeoutException in kubernetes mode,/,yes
CASSANDRA-14358,internode_tcp_connect_timeout_in_ms,Partitioned outbound internode TCP connections can occur when nodes restart,https://issues.apache.org/jira/browse/CASSANDRA-14358,https://github.com/apache/cassandra/commit/bfbc5274f2b3a5af2cbbe9679f0e78f1066ef638,timeout,Reliability,concrete Environment: AWS networks (and other stateful firewalls),Failure: UnavailableExceptions,"This should be exceedingly rare, but AWS networks (and other stateful firewalls) apparently suffer from this issue. Defensive settings for protecting Cassandra from true network partitions",Balancing flexibility and simplicity: It's a very rare bug ,yes
SPARK-26118,spark.ui.requestHeaderSize,Make Jetty's requestHeaderSize configurable in Spark,https://issues.apache.org/jira/browse/SPARK-26118,https://github.com/apache/spark/commit/ab61ddb34d58ab5701191c8fd3a24a62f6ebf37b,size,Reliability,concrete Environment: user is a member of many Active Directory user groups,Failure:HTTP 413,too large header size will cause HTTP 413. This issue may occur if the user is a member of many Active Directory user groups. The header size increases together with the number of user groups,Balancing flexibility and simplicity: this is the first time we've heard of someone hitting this limit,yes
HDFS-14082,dfs.federation.router.client.allow-partial-listing,RBF: Add option to fail operations when a subcluster is unavailable,https://issues.apache.org/jira/browse/HDFS-14082,https://github.com/apache/hadoop/commit/f4bd1114ff529e971f9b496ad62a7edca37fdf8d,feature selection,Reliability,vague use case: subcluster is unavailable,uxepected result:  succeed operations like getListing(),"When a subcluster is unavailable, we succeed operations like getListing(). We should add an option to fail the operation if one of the subclusters is unavailable.",/,yes
HDFS-11754,dfs.client.server-defaults.validity.period.ms,Make FsServerDefaults cache configurable,https://issues.apache.org/jira/browse/HDFS-11754,https://github.com/apache/hadoop/commit/53509f295b5274059541565d7216bf98aa35347d,interval,Reliability,vague use case: lockless rpc,uxepected result: lockless rpc,"""On the original jira some concerns were expressed about the lockless rpc for server defaults (I wouldn't care if it was 1min...), so as a middle ground, I'd suggest making the server defaults refresh interval configurable.""",Balancing flexibility and simplicity: so as a middle ground,yes
HDFS-12420,dfs.reformat.disabled,Add an option to disallow 'namenode format -force'.,https://issues.apache.org/jira/browse/HDFS-12420,https://github.com/apache/hadoop/commit/b6942cbe9b8c9469e8c2b64c3268d671f5a43e75,feature selection,Reliability,concrete Task: format a cluster,uxepected result: losing data,"We are just trying to avoid losing data by operator mistake. But from a sysadmin/developer hat on, I do like that fact that I can format a cluster with data. I do that when I test and develop",Balancing flexibility and simplicity: from a sysadmin/developer hat on,yes
SPARK-21247,spark.sql.caseSensitive,[SQL] Type comparison should respect case-sensitive SQL conf,https://issues.apache.org/jira/browse/SPARK-21247,https://github.com/apache/spark/commit/6412ea1759d39a2380c572ec24cfd8ae4f2d81f7,feature selection,Reliability,concrete Task: case-insensitive type comparisions,uxepected result: SET operations fail,"This issue aims to support case-insensitive type comparisions in Set operation. Currently, SET operations fail due to case-sensitive type comparision failure .",/,yes
SPARK-29105,spark.driver.log.allowErasureCoding,SHS may delete driver log file of in progress application,https://issues.apache.org/jira/browse/SPARK-29105,https://github.com/apache/spark/commit/276aaaae8d404975f8701089e9f4dfecd16e0d9,feature selection,Reliability,concrete task: if you just keep writing to the file,uxepected result: SHS may delete driver log file,"HDFS doesn't update the file size reported by the NM if you just keep writing to the file; this makes the SHS believe the file is inactive, and so it may delete it after the configured max age for log files.",/,yes
SPARK-22791,spark.sql.redaction.string.regex,[SQL][SS] Redact Output of Explain,https://issues.apache.org/jira/browse/SPARK-22791,https://github.com/apache/spark/commit/28315714ddef3ddcc192375e98dd5207cf4ecc98,regex,security,concrete task: redact seneitive information.,/,"When calling explain on a query, the output can contain sensitive information. We should provide an admin/user to redact such information.",/,no
HBASE-18875,hbase.thrift.readonly,Thrift server supports read-only mode,https://issues.apache.org/jira/browse/HBASE-18875,https://github.com/apache/hbase/commit/cfb6a54f69b1d847142afab56bdc1504638f118d,feature selection,security,unknow,/,"Provide option for thrift server to support read-only mode.To start the thrift server, use the -ro option or set hbase.thrift.readonly to true.",/,no
HDFS-13996,DFS_WEBHDFS_ACL_PERMISSION_PATTERN_KEY (dfs.webhdfs.acl.provider.permission.pattern),Make HttpFS' ACLs RegEx configurable,https://issues.apache.org/jira/browse/HDFS-13996,https://github.com/apache/hadoop/commit/8fe85af63b37f2f61269e8719e5b6287f30bb0b3,ACLs RegEx,security,unknow,/,Part of HDFS-5608 added support for GET/SET ACLs over WebHDFS. This currently identifies the passed arguments via a hard-coded regex that mandates certain group and user naming styles.,/,yes
SPARK-28055,REDACTION_REPLACEMENT_TEXT,Add delegation token custom AdminClient configuration,https://issues.apache.org/jira/browse/SPARK-28055,https://github.com/apache/spark/commit/d47c219f94f478b4b90bf6f74f78762ea301ebf,regex,security,unknow,/,/,/,yes
SPARK-29975,CONFIG_DIM,introduce --CONFIG_DIM directive,https://issues.apache.org/jira/browse/SPARK-29975,https://github.com/apache/spark/commit/e2f056f4a89b1bd9864be8c111d39af6558c839,feature selection,testability,unknow,/,allow the sql test files to specify different dimensions of config sets during testing.,/,no
SPARK-23361,spark.security.credentials.renewalRatio,[YARN] Allow AM to restart after initial tokens expire.,https://issues.apache.org/jira/browse/SPARK-23361,https://github.com/apache/spark/commit/5fa438471110afbf4e2174df449ac79e292501f8,ratio,testability,vague task: helps with testing,/,"I also made two currently hardcoded values (the renewal time ratio, and the retry wait) configurable; while this probably never needs to be set the retry wait) configurable; while this probably never needs to be set by anyone in a production environment, it helps with testing; that's also why they're not documented.",Balancing flexibility and simplicity:while this probably never needs to be set by anyone in a production environment,no
SPARK-23361,spark.security.credentials.retryWait,[YARN] Allow AM to restart after initial tokens expire.,https://issues.apache.org/jira/browse/SPARK-23361,https://github.com/apache/spark/commit/5fa438471110afbf4e2174df449ac79e292501f8,timeout,testability,vague task: helps with testing,/,"I also made two currently hardcoded values (the renewal time ratio, and the retry wait) configurable; while this probably never needs to be set the retry wait) configurable; while this probably never needs to be set by anyone in a production environment, it helps with testing; that's also why they're not documented.",Balancing flexibility and simplicity: while this probably never needs to be set by anyone in a production environment,no
SPARK-22554,spark.python.use.daemon,[PYTHON] Add a CONFIG to control if PySpark should use daemon or not for workers,https://issues.apache.org/jira/browse/SPARK-22554,https://github.com/apache/spark/commit/57c5514de9dba1c14e296f85fb13fef23ce8c73f,feature selection,testability,vague task: test Windows specific issue.,/,It makes easier to test Windows specific issue.,/,no
HDFS-12496,dfs.qjm.operations.timeout,Make QuorumJournalManager timeout properties configurable,https://issues.apache.org/jira/browse/HDFS-12496,https://github.com/apache/hadoop/commit/b9e423fa8d30ea89244f6ec018a8064cc87d94a9,timeout,unknow,unknow,/,Make QuorumJournalManager timeout properties configurable using a common key.,"Balancing flexibility and simplicity: Since these don't occur during normal operation, we can use rather lengthy timeouts, and don't need to make them configurable",yes
HDFS-13181,dfs.disk.balancer.plan.valid.interval,Add a configuration for valid plan hours instead of constant 24 hours in the code.,https://issues.apache.org/jira/browse/HDFS-13181,https://github.com/apache/hadoop/commit/1cc9a58ddad8a02db0ec5a014f9de417eec1b8dd,interval,unknow,unknow,/,"Add a configuration for valid plan hours, instead of constant 24 hours in the code.",/,yes